xDate,xHour,REGION,MICRO_CLUSTER,Subscluster,CLUSTER2b,site_id,BSC_ID,BCF_ID,BTS_ID,CELL_ID,BAND,tch_avail,TBF_DROP,CSSR,gsm_data_total_traffic_DL,Drop_Call_Rate_2,TCH_Traffic_trf_24c,HOSR,TASR,SDCCH_DROP,DLQUAL0_5,ULQUAL0_5,Date_hour,id
2021-04-15 00:00:00,0 days 21:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,,0.87,,0.03,100.0,,14.29,88.03,100.0,2021-04-15 21:00:00,44352
2021-04-15 00:00:00,0 days 21:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,1.65,87.8,10.39,0.0,2.04,,100.0,12.2,99.94,100.0,2021-04-15 21:00:00,44353
2021-04-15 00:00:00,0 days 22:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.08,,726.99,,0.0,,,0.0,,,2021-04-15 22:00:00,44351
2021-04-15 00:00:00,0 days 22:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,,0.43,,0.03,100.0,,0.0,96.19,100.0,2021-04-15 22:00:00,44352
2021-04-15 00:00:00,0 days 22:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,2.11,100.0,8.17,0.0,1.86,,100.0,0.0,99.93,100.0,2021-04-15 22:00:00,44353
2021-04-16 00:00:00,0 days 00:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.05,100.0,1732.25,0.0,0.01,,100.0,0.0,100.0,100.0,2021-04-16 00:00:00,44351
2021-04-16 00:00:00,0 days 00:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,3.85,,1.62,,0.0,,,0.0,,,2021-04-16 00:00:00,44352
2021-04-16 00:00:00,0 days 00:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,1.35,97.73,63.32,,0.0,100.0,100.0,2.27,100.0,100.0,2021-04-16 00:00:00,44353
2021-04-16 00:00:00,0 days 01:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.11,,1102.7,,0.0,,,0.0,,,2021-04-16 01:00:00,44351
2021-04-16 00:00:00,0 days 01:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,,1.27,,0.0,,,0.0,,,2021-04-16 01:00:00,44352
